ticker,error_type,error_message,response_seconds,structural_error
APM,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.085,True
APRE,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.888,True
APUR,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.013,True
APURR,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.013,True
APUS,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.137,True
APWC,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.13,True
APXT,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.015,True
APXTU,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.107,True
APXTW,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.065,True
AQN,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.105,True
AQNB,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.223,True
ARBB,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.052,True
ARBE,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.104,True
ARBEW,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.006,True
ARBK,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.989,True
ARCC,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.127,True
ARCI,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.886,True
ARCIU,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.003,True
ARCIW,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.074,True
ARCL,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.067,True
ARCLR,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.813,True
ARCLU,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.878,True
ARCLW,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.144,True
ARCO,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,0.985,True
ARDC,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.937,True
ARE,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.262,True
ARGX,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.042,True
ARIS,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.058,True
ARLO,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.246,True
ARM,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.125,True
AROW,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.421,True
ARQQ,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.114,True
ARQQW,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.977,True
ARR,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.111,True
ARTL,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.167,True
ARXS,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.078,True
AS,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.839,True
ASA,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.079,True
ASC,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.237,True
ASG,ValueError,US-GAAP 데이터를 찾지 못했습니다.,0.943,True
ASGI,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.065,True
ASM,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.0,True
ASML,ValueError,최신 연간 Revenue 데이터를 찾지 못했습니다.,1.194,True
ASND,ValueError,US-GAAP 데이터를 찾지 못했습니다.,1.168,True
